number of items,linear search,binary search,recursive search,creation time,sort time
1000,29083,1665,2404,1008800,1010500
2000,5487,539,267,343100,742000
3000,5830,635,275,163400,1177900
4000,18295,331,346,228900,934400
5000,25260,807,680,256600,749600
6000,3342,312,365,850300,1470300
7000,1741,271,430,427100,1224800
8000,3498,314,364,330000,1150400
9000,2593,262,302,901200,1699300
10000,2716,265,305,420600,1396900
11000,2774,289,315,504400,1659800
12000,3696,315,372,444200,1751400
13000,5021,356,423,384600,2928400
14000,11890,632,541,433000,2235200
15000,4125,305,324,480700,1915300
16000,4818,318,349,458200,2132200
17000,9917,475,511,487600,2595600
18000,5574,445,330,1441600,2949300
19000,6279,311,329,569000,3129200
20000,6351,306,338,703400,3522100
21000,6357,294,329,647200,3138500
22000,6151,344,333,664800,3232300
23000,6390,438,422,857000,3384600
24000,6585,338,334,741000,3477900
25000,7260,162,320,811600,2609500
26000,6886,193,335,736700,2514500
27000,6956,161,268,760200,2787100
28000,7953,162,181,795000,2684800
29000,7539,193,301,816700,2848300
30000,8314,161,178,832100,2706400
31000,8788,166,175,839500,3392800
32000,8427,155,171,930400,3080800
33000,8862,166,178,891400,3320500
34000,9835,167,177,918500,3376400
35000,8317,158,181,952100,3695000
36000,9348,163,171,990800,3943300
37000,12050,184,177,1004100,4133000
38000,10425,161,360,1204200,3754600
39000,10931,173,181,1085500,3975800
40000,9131,164,182,1135200,3928300
41000,9091,159,178,1119400,4238100
42000,11417,180,204,1201100,4564500
43000,11148,164,176,1139300,4541600
44000,14832,199,221,1279000,4720100
45000,12075,166,181,1334100,5237900
46000,13227,244,182,1268900,5507100
47000,13898,174,185,1368200,5544900
48000,12935,167,184,1297500,5629200
49000,13920,182,179,1349000,5534400
50000,13746,185,188,1387500,6075500
51000,12467,180,177,1366400,5921900
52000,12619,180,176,1468100,5503000
53000,13924,173,186,1553300,3557400
54000,15152,181,183,2027800,2946900
55000,15599,180,176,1458000,3281500
56000,14413,186,189,1560000,3296300
57000,15919,179,180,1507000,3176200
58000,14122,187,183,1665700,3198100
59000,13904,182,191,1568000,3445100
60000,16329,184,188,1592400,3491200
61000,16093,182,180,1680000,3431800
62000,15091,189,188,1630200,3586600
63000,15378,168,174,1666300,3439300
64000,18143,178,193,1698200,3453100
65000,15679,165,178,1610500,3712100
66000,18155,175,175,1642200,3635500
67000,16395,242,174,1955400,3643900
68000,18159,173,179,1729300,3798100
69000,18308,185,186,1829200,3827200
70000,17243,236,177,1736600,3824600
71000,18793,187,172,1868200,3933200
72000,20372,187,163,1941900,3981000
73000,18700,179,178,1842600,4209400
74000,20752,182,174,1841700,4172100
75000,21742,189,181,2126100,5653900
76000,20585,189,166,1968100,4900400
77000,20760,192,187,2075000,4357400
78000,22139,194,194,2271700,4787000
79000,21250,184,190,2233400,4606700
80000,21257,178,174,2246300,4695900
81000,20179,177,174,2012000,4606000
82000,22008,186,183,2295400,4623400
83000,25431,199,186,2140400,4675700
84000,23315,182,180,2489700,4580200
85000,21032,239,185,2152000,4763800
86000,21327,178,185,2152100,4722300
87000,24073,186,180,2984800,4760600
88000,20821,182,182,2216400,5025100
89000,22428,195,175,2349200,5442000
90000,26015,189,190,2460200,5119300
91000,22850,183,180,2364100,5022700
92000,23456,181,232,2408800,4967400
93000,22974,180,181,2420400,5275100
94000,30737,249,196,2443900,5167300
95000,24801,190,179,2778200,5454300
96000,26122,193,182,2397200,5383000
97000,24481,188,183,2403000,5393100
98000,26337,192,182,2431500,5463700
99000,24983,200,191,2450200,5679900
100000,31593,214,196,2939700,5847500
101000,26225,205,195,3061500,6019800
102000,23159,193,182,2723300,5804500
103000,27700,192,189,2615600,6043500
104000,33690,224,210,2827900,5899600
105000,35406,255,368,3230900,6342600
106000,32335,171,157,3140600,6801300
107000,30127,202,158,3168100,7036300
108000,30506,177,158,3176900,7874500
109000,38176,181,162,2988900,7720700
110000,33935,165,162,4277800,7485600
111000,29069,171,152,3018300,7562000
112000,40267,173,149,3108700,7474300
113000,29642,160,156,3067300,7667400
114000,31391,171,158,3063200,7232100
115000,33766,230,148,3834800,6899400
116000,29745,160,147,3338700,7959500
117000,34437,162,154,3080200,7518300
118000,27865,166,153,2930300,7201200
119000,51771,188,298,3196000,9982500
120000,33882,229,424,4136200,7585100
121000,39043,184,167,3654200,7877300
122000,37418,174,153,6039100,7453500
123000,30213,227,153,3274800,7166000
124000,28316,161,151,3061500,7054900
125000,28779,288,159,2947300,7339300
126000,32136,167,143,3073600,7616300
127000,31778,164,145,2998700,7361400
128000,36507,219,150,3286200,7376700
129000,37929,174,162,3074200,7510300
130000,31121,163,151,3166700,7550000
131000,32658,167,146,3144300,7480400
132000,29614,172,155,3091300,7773400
133000,35189,178,157,3119300,7745900
134000,33670,219,150,3085300,8431400
135000,30880,162,148,3143400,7924100
136000,35202,170,159,3234700,8162200
137000,37308,167,344,3180900,7994400
138000,39095,170,148,3275400,8059500
139000,38438,172,154,3211500,8116300
140000,38242,173,152,3302800,8153800
141000,41686,161,147,3240000,8197700
142000,40134,162,156,3341200,8754400
143000,39193,168,145,3419700,8658600
144000,40625,171,151,3372000,8291200
145000,38535,171,154,3503100,8623000
146000,36538,172,143,3385400,8525100
147000,36804,169,148,3471100,8705300
148000,37476,168,161,3411200,9052700
149000,37872,238,154,3340300,9280000
150000,39096,173,157,3504300,9062700
151000,38836,174,155,3406700,9074300
152000,47471,187,178,3382000,10327100
153000,46264,187,172,3730300,9523100
154000,44088,236,159,3727200,9619800
155000,44538,175,153,5567900,9486900
156000,48357,479,153,3568700,9320500
157000,39614,170,153,3475300,9581700
158000,36050,227,153,3637100,9486500
159000,44276,178,153,3722900,9487300
160000,41441,238,158,3692700,9519400
161000,38535,172,160,3653900,9527300
162000,40649,166,153,3700100,9485900
163000,45779,173,154,3622800,10083800
164000,38486,167,161,3637400,9808600
165000,37910,177,164,3739200,9753900
166000,42407,180,156,3709000,10232000
167000,46300,180,158,4082200,10323700
168000,48209,182,159,3934700,10376900
169000,42504,170,151,3859500,10309600
170000,41737,163,149,3743500,11025700
171000,44446,238,160,3874500,10063500
172000,52434,182,164,4022700,9955000
173000,48718,194,164,4350600,11080400
174000,45516,176,158,4042000,10058800
175000,46794,237,163,3846100,10234900
176000,44041,170,161,3866200,10510500
177000,40325,174,155,3894800,11192200
178000,47871,176,160,4202000,10754800
179000,50752,189,176,5432000,11318600
180000,48609,179,155,4286700,10780000
181000,48885,173,154,3979300,10855600
182000,43091,164,147,4088300,11056100
183000,45926,176,153,6377300,10870900
184000,46429,244,155,4080500,10819900
185000,50891,174,171,4070400,11215800
186000,42963,171,155,4088600,10938200
187000,47577,175,153,4187600,10873400
188000,48695,175,158,4150800,10979100
189000,48022,172,160,4162400,11350000
190000,44443,178,156,4226500,10983700
191000,52467,184,159,4210500,11281000
192000,48471,177,152,4233100,11228100
193000,47028,181,159,4255000,11687100
194000,47257,174,149,4280800,11564000
195000,52526,179,154,4296200,11658600
196000,49523,176,158,4327900,11492200
197000,71111,315,297,4342700,11762000
198000,50017,164,164,5064900,13203000
199000,49853,182,164,4525300,12021900
200000,58800,179,154,5142500,11631000
201000,60877,178,164,4412100,11906100
202000,72010,371,379,4555600,11851900
203000,53290,317,159,4870800,13085200
204000,53394,177,157,4731300,12174000
205000,46285,183,163,6626000,12458700
206000,49903,227,164,4528200,12351700
207000,51046,174,152,4543200,12479600
208000,45864,169,156,4575400,12489300
209000,48416,185,155,4595900,12240800
210000,52255,238,161,4719100,12378400
211000,54149,175,161,6505200,12738700
212000,54736,185,170,4779100,12634300
213000,50705,187,166,4675900,12782000
214000,51491,179,170,4824100,12558300
215000,51474,184,164,4722400,12740800
216000,53081,182,151,4777700,12458300
217000,51781,178,166,4798400,12896500
218000,61560,191,177,4811800,13067200
219000,58505,180,160,4834800,13142500
220000,54799,234,155,4851400,13165300
221000,64895,191,161,4980000,13867500
222000,55566,179,164,5219300,14482000
223000,71447,219,180,5387800,15838400
224000,88233,375,194,5828800,17069500
225000,60860,197,170,6286900,17802000
226000,86873,250,467,5312500,19029000
227000,219868,407,225,6105500,40822400
228000,102080,279,211,5569300,15020200
229000,215794,281,180,5947700,24511800
230000,85155,235,213,12003100,17869500
231000,89621,447,374,5984900,16361000
232000,66344,203,174,5928800,16480300
233000,61260,199,177,5838600,16002400
234000,65569,197,165,5633600,15061700
235000,62055,254,160,5450800,14443800
236000,54016,182,160,5188900,14303600
237000,59599,184,157,5434500,14773500
238000,58327,177,168,5406600,15113400
239000,59396,194,171,8881000,15456500
240000,64754,184,187,6052500,15581200
241000,63615,176,165,5301400,14423400
242000,66746,181,165,5324400,14621600
243000,63896,195,162,5565400,14646600
244000,72742,190,162,5451400,14900300
245000,63225,183,166,5473400,14569600
246000,60097,193,169,5688300,14875400
247000,98268,207,176,5669400,14923100
