number of items,linear search,binary search,recursive search,creation time,sort time
1000,17503,827,995,837600,986300
2000,5430,610,306,111900,718400
3000,6400,615,310,159400,1195600
4000,14511,289,504,440500,1048800
5000,7884,287,303,270200,1036300
6000,4002,433,464,559100,1623700
7000,3169,378,597,661200,1632300
8000,3558,387,418,736200,1787500
9000,3584,358,387,505800,1850500
10000,3373,306,301,1124900,1442700
11000,5990,425,428,1218200,1914500
12000,3156,317,300,548900,1571200
13000,4212,304,321,503200,1687500
14000,4648,300,333,511000,2040600
15000,4426,309,340,564700,2513300
16000,7154,394,443,850200,3017300
17000,8247,666,484,953900,5305700
18000,6424,1752,324,869400,3868500
19000,8993,474,493,709600,5455600
20000,6122,341,354,994300,4061400
21000,6621,310,294,589800,3909700
22000,7567,384,320,891300,14804200
23000,10246,722,247,955400,4024600
24000,6845,200,183,743500,3340700
25000,9472,212,253,707600,3011500
26000,10262,184,182,923200,4044300
27000,8617,177,183,765500,3209100
28000,8404,160,185,792100,2684700
29000,13894,233,184,820400,5398500
30000,7827,157,185,872100,1707000
31000,9165,175,188,866000,1774800
32000,9181,181,185,925300,1883400
33000,10013,155,175,1122900,3665300
34000,9075,157,166,1026900,1930600
35000,8820,165,192,990000,2083100
36000,19800,241,217,1015000,2228300
37000,10410,161,248,1075800,5815900
38000,11186,175,188,1199900,6479300
39000,12427,179,316,3097400,8226700
40000,11772,171,193,1345300,2914300
41000,12042,245,199,1446900,2465900
42000,12401,164,174,1187000,2476900
43000,12281,160,182,1371000,3337100
44000,12071,191,184,1273800,2633600
45000,12797,179,195,1294200,2646200
46000,14905,197,196,1309700,2899800
47000,12617,180,179,1447000,3037000
48000,16822,176,174,1300500,3038400
49000,15229,181,186,1570700,3823900
50000,14410,182,199,1745800,3213700
51000,30278,277,253,1399800,3442500
52000,19247,319,170,2304200,3032900
53000,22464,313,197,2210200,3380200
54000,16797,244,480,2331900,3317500
55000,27170,215,383,1565700,4260600
56000,23613,287,748,1863500,3729900
57000,24080,229,335,1608300,3368100
58000,13539,185,179,2202600,3741300
59000,16852,182,183,1635200,4063200
60000,21554,191,190,1949100,4457300
61000,20505,224,206,1737300,3712600
62000,24850,201,185,2179500,4019600
63000,18423,193,186,2093300,3807400
64000,19013,205,191,2843600,4462600
65000,33445,303,335,2049900,4831800
66000,20169,193,190,2112700,4176400
67000,22250,196,194,1911100,4385600
68000,18551,187,173,1882100,4163600
69000,21802,186,185,1881400,4462000
70000,18669,182,169,1936100,4195000
71000,20102,186,180,2009600,4543600
72000,19469,188,168,1901900,4359300
73000,18631,203,191,2020800,5215500
74000,21494,188,190,2126900,4562000
75000,17812,180,308,2168100,4641100
76000,24398,199,187,1960200,4518200
77000,22906,185,176,2035500,4716200
78000,22461,236,347,2005500,4627600
79000,23515,236,184,2446600,4704300
80000,22473,183,174,2200400,4993000
81000,22644,242,168,2197000,4758600
82000,23818,200,193,2453500,4976300
83000,29851,331,184,2177200,5271800
84000,21341,190,175,2992200,5118400
85000,23718,386,199,2498400,5158500
86000,20498,192,173,2371800,5282700
87000,22221,200,181,2566300,5439100
88000,22141,191,180,2420400,5443600
89000,27793,211,346,2620800,5709700
90000,34544,222,393,3019000,6263100
91000,26415,193,181,2669700,5520500
92000,24084,196,180,2854500,5589500
93000,24395,317,171,2531800,5755800
94000,25643,189,187,3009100,5761700
95000,27274,192,186,2894200,5939800
96000,27040,332,188,2799500,6293100
97000,27135,195,510,2827600,6080700
98000,29762,203,320,2858600,6129600
99000,38324,218,195,2766700,7507600
100000,32244,203,251,3427500,6846700
101000,30613,195,190,2852100,6674800
102000,26861,203,185,2750100,6076800
103000,29841,261,188,3168300,7328400
104000,27795,201,362,2951000,6749900
105000,31134,315,164,2933000,7156700
106000,32359,368,151,2831000,6553700
107000,35209,180,158,2951900,7927400
108000,31944,165,153,3185500,6629900
109000,32993,161,338,2842800,6784300
110000,31010,169,160,3075200,6910500
111000,34526,170,161,2998200,7497700
112000,29018,163,151,2928400,6931000
113000,30093,161,163,3220600,7022700
114000,32019,169,148,3371100,6991500
115000,31589,239,159,3120000,7223100
116000,31300,164,157,3323900,8108800
117000,31978,172,308,3499900,7327700
118000,30884,163,147,3090600,7332200
119000,30655,343,148,3394000,7607700
120000,40808,183,170,3186200,9420900
121000,32220,158,149,3356700,7600200
122000,33053,171,320,5857100,8195300
123000,35307,184,168,3265700,8840200
